bls_area_code,metro_name,bls_date,bls_unemp_rate,bls_unemp_yoy_pp
MT3640380000000,"Rochester, NY Metropolitan Statistical Area",2026-01-01,4.3,0.2
MT3645060000000,"Syracuse, NY Metropolitan Statistical Area",2026-01-01,4.3,0.1
MT3646540000000,"Utica-Rome, NY Metropolitan Statistical Area",2026-01-01,4.6,0
MT3648060000000,"Watertown-Fort Drum, NY Metropolitan Statistical Area",2026-01-01,5.8,0
MT3711700000000,"Asheville, NC Metropolitan Statistical Area",2026-01-01,3.8,-2.2
MT3715500000000,"Burlington, NC Metropolitan Statistical Area",2026-01-01,4.1,0.3
MT3716740000000,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",2026-01-01,4.3,0.4
MT3720500000000,"Durham-Chapel Hill, NC Metropolitan Statistical Area",2026-01-01,3.7,0.4
MT3722180000000,"Fayetteville, NC Metropolitan Statistical Area",2026-01-01,5.1,0.2
MT3724140000000,"Goldsboro, NC Metropolitan Statistical Area",2026-01-01,4.3,0.5
MT3724660000000,"Greensboro-High Point, NC Metropolitan Statistical Area",2026-01-01,4.5,0.3
MT3724780000000,"Greenville, NC Metropolitan Statistical Area",2026-01-01,4.4,0.3
MT3725860000000,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",2026-01-01,3.9,-0.1
MT3727340000000,"Jacksonville, NC Metropolitan Statistical Area",2026-01-01,4.3,0.3
MT3738240000000,"Pinehurst-Southern Pines, NC Metropolitan Statistical Area",2026-01-01,3.6,0.1
MT3739580000000,"Raleigh-Cary, NC Metropolitan Statistical Area",2026-01-01,3.5,0.3
MT3740580000000,"Rocky Mount, NC Metropolitan Statistical Area",2026-01-01,5.7,0.7
MT3748900000000,"Wilmington, NC Metropolitan Statistical Area",2026-01-01,4,0.1
MT3749180000000,"Winston-Salem, NC Metropolitan Statistical Area",2026-01-01,4.1,0.3
MT3813900000000,"Bismarck, ND Metropolitan Statistical Area",2026-01-01,3.1,0.1
MT3822020000000,"Fargo, ND-MN Metropolitan Statistical Area",2026-01-01,3.4,0.4
MT3824220000000,"Grand Forks, ND-MN Metropolitan Statistical Area",2026-01-01,3.5,0.5
MT3833500000000,"Minot, ND Metropolitan Statistical Area",2026-01-01,3.3,0.1
MT3910420000000,"Akron, OH Metropolitan Statistical Area",2026-01-01,4.9,-0.7
MT3915940000000,"Canton-Massillon, OH Metropolitan Statistical Area",2026-01-01,5.1,-0.6
